Property_Name,Location,Region,Property_Age,Availability,Area_Type,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
0,Omkar Alta Monte ,W E Highway Malad East Mumbai,Highway Malad,0 to 1 Year,Ready To Move,Super Built Up Area,1943.875,17241.0,14.0,3,4,399.5
1,T Bhimjyani Neelkanth Woods ,Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1900.0,12631.0,8.0,3,3,240.0
2,Legend 1 Pramila Nagar ,Dahisar West Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Super Built Up Area,595.0,15966.0,3.0,1,2,95.0
3,Unnamed Property,Vidyavihar West Vidyavihar West Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1450.0,25862.0,1.0,3,3,375.0
4,Unnamed Property,176 Cst Road Kalina Mumbai 400098 Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,5 to 10 Year,Ready To Move,Carpet Area,876.0,39954.0,5.0,2,2,350.0
5,Varun Garden ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1500.0,14666.0,7.0,3,3,220.0
6,Unnamed Property,V P Road Near Q Deck Family Restaurant And Bar Vile Parle West Mumbai South West Mumbai,Parle Mumbai,1 to 5 Year,Ready To Move,Built Up Area,525.0,31428.0,1.0,1,2,165.0
7,Unnamed Property,Nahur East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,583.0,24013.0,3.0,2,2,140.0
8,Unnamed Property,Kalyan East Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1010.0,6435.0,1.0,3,3,65.0
9,Sunteck West World ,701 702 Naigaon East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,788.0,10250.0,7.0,2,4,86.0
10,Green Court ,702 Andheri West Mumbai,Andheri Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1200.0,34810.0,7.0,2,2,275.0
11,Balaji Galaxy ,502 Kalamboli Navi Mumbai Mumbai,Kalamboli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,630.0,11111.0,5.0,2,2,70.0
12,Unnamed Property,402 Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Carpet Area,790.0,34810.0,4.0,3,3,275.0
13,Unnamed Property,Goregaon West Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Built Up Area,864.0,26041.0,7.0,2,2,225.0
14,Unnamed Property,New Madha Row House Colony Pawar Nagar Thane Mumbai,Nagar Thane,10+ Year,Ready To Move,Plot Area,1260.0,12698.0,2.0,2,2,160.0
15,Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,896.0,8705.0,3.0,1,1,78.0
16,Haware Silicon Tower ,Plot No 46 Sector 30 A Vashi Navi Mumbai 400705 Palm Beach Navi Mumbai Mumbai,Beach Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1943.875,16580.0,8.0,3,3,289.0
17,Unnamed Property,Shri Nagar Wagle Estate Thane Mumbai,Estate Thane,1 to 5 Year,Ready To Move,Built Up Area,670.0,18656.0,5.0,2,2,125.0
18,Unnamed Property,302 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,960.0,14062.0,3.0,2,2,135.0
19,Lodha Splendora ,Ghodbunder Road Thane Mumbai,Road Thane,5 to 10 Year,Ready To Move,Carpet Area,743.0,18169.0,25.5,2,2,135.0
20,Lodha Palava Downtown ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,398.0,10552.0,11.0,1,2,42.0
21,Unnamed Property,Sector 16 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1250.0,18000.0,2.0,2,2,225.0
22,Unnamed Property,101 Bandra East Mumbai South West Mumbai,Bandra Mumbai,10+ Year,Ready To Move,Carpet Area,820.0,24390.0,11.0,2,2,200.0
23,Unnamed Property,Ghatkopar East Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1460.0,32876.0,5.0,3,3,399.5
24,Gauri Excellency ,2105 2106 Charkop Mumbai,Charkop Mumbai,Under Construction,Under Construction,Carpet Area,1943.875,19730.0,21.0,4,4,399.5
25,Unnamed Property,Laxmi Keshav Bhiwandi Mumbai Beyond Thane Mumbai Bhiwandi Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Built Up Area,855.0,5300.0,3.0,1,1,45.0
26,Puraniks Tokyo Bay ,Kasar vadavali Thane Mumbai,Vadavali Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1066.0,9193.0,13.0,2,2,98.0
27,Unnamed Property,Sector 19 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,276.0,10869.0,2.0,1,1,30.0
28,Unnamed Property,Chakala Mumbai,Chakala Mumbai,10+ Year,Ready To Move,Built Up Area,300.0,18333.0,5.0,1,1,55.0
29,Unnamed Property,203 Seven Bunglow Mumbai,Seven Bunglow,10+ Year,Ready To Move,Carpet Area,625.0,40800.0,2.0,2,2,255.0
30,Unnamed Property,201 Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,560.0,5000.0,2.0,1,2,28.0
31,Varsha Balaji Heritage ,Sector 11 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1700.0,15294.0,13.0,3,3,260.0
32,Bhanushanti Complex ,Malad East Malad East Mumbai,Malad Malad,5 to 10 Year,Ready To Move,Carpet Area,720.0,13889.0,3.0,1,2,100.0
33,Sagar Mahal ,Walkeshwar Road Malabar Hill Walkeshwar South Mumbai Mumbai,Walkeshwar Mumbai,10+ Year,Ready To Move,Built Up Area,1250.0,43437.375,0.0,2,3,399.5
34,Unnamed Property,Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Built Up Area,1500.0,16666.0,15.0,3,3,250.0
35,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1690.0,8076.0,16.0,3,3,105.0
36,Unnamed Property,Near D Mart Sector 5 New Panvel East Navi Mumbai Mumbai,Panvel Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,525.0,10096.0,3.0,1,1,53.0
37,Unnamed Property,202 Plot No 157 Sector 12 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1085.0,11981.0,2.0,3,2,130.0
